Threshold,Accuracy,Precision,Recall,F1 Score,ROC-AUC
0.1,0.1598639455782313,0.1598639455782313,1.0,0.2756598240469208,0.7547592385218366
0.15000000000000002,0.1598639455782313,0.1598639455782313,1.0,0.2756598240469208,0.7547592385218366
0.20000000000000004,0.1564625850340136,0.15699658703071673,0.9787234042553191,0.27058823529411763,0.7547592385218366
0.25000000000000006,0.1870748299319728,0.1595744680851064,0.9574468085106383,0.2735562310030395,0.7547592385218366
0.30000000000000004,0.22789115646258504,0.16666666666666666,0.9574468085106383,0.28391167192429023,0.7547592385218366
0.3500000000000001,0.282312925170068,0.17716535433070865,0.9574468085106383,0.29900332225913623,0.7547592385218366
0.40000000000000013,0.35374149659863946,0.18222222222222223,0.8723404255319149,0.3014705882352941,0.7547592385218366
0.45000000000000007,0.4523809523809524,0.20618556701030927,0.851063829787234,0.33195020746887965,0.7547592385218366
0.5000000000000001,0.5612244897959183,0.24050632911392406,0.8085106382978723,0.37073170731707317,0.7547592385218366
0.5500000000000002,0.7108843537414966,0.3173076923076923,0.7021276595744681,0.4370860927152318,0.7547592385218366
0.6000000000000002,0.7551020408163265,0.33766233766233766,0.5531914893617021,0.41935483870967744,0.7547592385218366
0.6500000000000001,0.8367346938775511,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.7547592385218366
0.7000000000000002,0.8639455782312925,0.6666666666666666,0.2978723404255319,0.4117647058823529,0.7547592385218366
0.7500000000000002,0.8537414965986394,0.8333333333333334,0.10638297872340426,0.18867924528301888,0.7547592385218366
0.8000000000000002,0.8401360544217688,0.0,0.0,0.0,0.7547592385218366
0.8500000000000002,0.8401360544217688,0.0,0.0,0.0,0.7547592385218366
0.9000000000000002,0.8401360544217688,0.0,0.0,0.0,0.7547592385218366
